g_id,in_live,in_prev,status,sku_prev,product_type_ok,item_group_ok,landing_ok,image_ok,live_pt,prev_pt,live_ig,prev_ig,live_link,prev_link,live_avail,prev_avail,live_price,live_sale,image
42411,True,True,ok,MI-TD-11N-W-12,True,True,True,True,Sound &amp;amp;amp; Musical Instruments &amp;gt; All &amp;gt; Handpans &amp;amp;amp; Tongue Drum &amp;gt; Kids &amp;gt; Xylophones &amp;gt; All,Sound &amp;amp; Musical Instruments &gt; All &gt; Handpans &amp;amp; Tongue Drum &gt; Kids &gt; Xylophones &gt; All,42373,42373,https://sarveda.com/product/11-note-tongue-drum?offer=42411,https://sarveda.com/product/11-note-tongue-drum?offer=42411,in_stock,out_of_stock,9576.00 INR,8550.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/06/IMG1161-scaled.jpg
42412,True,True,ok,MI-TD-11N-W-6,True,True,True,True,Sound &amp;amp;amp; Musical Instruments &amp;gt; All &amp;gt; Handpans &amp;amp;amp; Tongue Drum &amp;gt; Kids &amp;gt; Xylophones &amp;gt; All,Sound &amp;amp; Musical Instruments &gt; All &gt; Handpans &amp;amp; Tongue Drum &gt; Kids &gt; Xylophones &gt; All,42373,42373,https://sarveda.com/product/11-note-tongue-drum?offer=42412,https://sarveda.com/product/11-note-tongue-drum?offer=42412,in_stock,out_of_stock,6850.00 INR,5850.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/06/IMG1161-scaled.jpg
46192,True,True,ok,YO-M-CT-L-M-G,True,True,True,True,Yoga &amp;amp;amp; Meditation &amp;gt; All &amp;gt; Yoga Mats &amp;amp;amp; Props &amp;gt; All,Yoga &amp;amp; Meditation &gt; All &gt; Yoga Mats &amp;amp; Props &gt; All,46171,46171,https://sarveda.com/product/yoga-mats-lotus?offer=46192,https://sarveda.com/product/yoga-mats-lotus?offer=46192,in_stock,in_stock,1668.80 INR,1490.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/IMG-2345-scaled.jpg
46194,True,True,ok,YO-M-CT-L-M-B,True,True,True,True,Yoga &amp;amp;amp; Meditation &amp;gt; All &amp;gt; Yoga Mats &amp;amp;amp; Props &amp;gt; All,Yoga &amp;amp; Meditation &gt; All &gt; Yoga Mats &amp;amp; Props &gt; All,46171,46171,https://sarveda.com/product/yoga-mats-lotus?offer=46194,https://sarveda.com/product/yoga-mats-lotus?offer=46194,in_stock,in_stock,1668.80 INR,1490.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/IMG-2345-scaled.jpg
46195,True,True,ok,YO-M-CT-L-M-P,True,True,True,True,Yoga &amp;amp;amp; Meditation &amp;gt; All &amp;gt; Yoga Mats &amp;amp;amp; Props &amp;gt; All,Yoga &amp;amp; Meditation &gt; All &gt; Yoga Mats &amp;amp; Props &gt; All,46171,46171,https://sarveda.com/product/yoga-mats-lotus?offer=46195,https://sarveda.com/product/yoga-mats-lotus?offer=46195,in_stock,in_stock,2450.00 INR,1790.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/IMG-2345-scaled.jpg
46196,True,True,ok,YO-M-CT-L-S-T,True,True,True,True,Yoga &amp;amp;amp; Meditation &amp;gt; All &amp;gt; Yoga Mats &amp;amp;amp; Props &amp;gt; All,Yoga &amp;amp; Meditation &gt; All &gt; Yoga Mats &amp;amp; Props &gt; All,46171,46171,https://sarveda.com/product/yoga-mats-lotus?offer=46196,https://sarveda.com/product/yoga-mats-lotus?offer=46196,out_of_stock,out_of_stock,2750.00 INR,1990.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/IMG-2345-scaled.jpg
46197,True,True,ok,YO-M-CT-L-S-O,True,True,True,True,Yoga &amp;amp;amp; Meditation &amp;gt; All &amp;gt; Yoga Mats &amp;amp;amp; Props &amp;gt; All,Yoga &amp;amp; Meditation &gt; All &gt; Yoga Mats &amp;amp; Props &gt; All,46171,46171,https://sarveda.com/product/yoga-mats-lotus?offer=46197,https://sarveda.com/product/yoga-mats-lotus?offer=46197,out_of_stock,out_of_stock,2750.00 INR,1990.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/IMG-2345-scaled.jpg
46198,True,True,ok,YO-M-CT-L-S-Y,True,True,True,True,Yoga &amp;amp;amp; Meditation &amp;gt; All &amp;gt; Yoga Mats &amp;amp;amp; Props &amp;gt; All,Yoga &amp;amp; Meditation &gt; All &gt; Yoga Mats &amp;amp; Props &gt; All,46171,46171,https://sarveda.com/product/yoga-mats-lotus?offer=46198,https://sarveda.com/product/yoga-mats-lotus?offer=46198,out_of_stock,out_of_stock,2750.00 INR,1990.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/IMG-2345-scaled.jpg
46199,True,True,ok,YO-M-CT-L-S-P,True,True,True,True,Yoga &amp;amp;amp; Meditation &amp;gt; All &amp;gt; Yoga Mats &amp;amp;amp; Props &amp;gt; All,Yoga &amp;amp; Meditation &gt; All &gt; Yoga Mats &amp;amp; Props &gt; All,46171,46171,https://sarveda.com/product/yoga-mats-lotus?offer=46199,https://sarveda.com/product/yoga-mats-lotus?offer=46199,out_of_stock,out_of_stock,2750.00 INR,1990.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/IMG-2345-scaled.jpg
48210,True,True,ok,MI-TF-AG-4160,True,True,True,True,Sound &amp;amp;amp; Musical Instruments &amp;gt; All &amp;gt; Tuning Forks,Sound &amp;amp; Musical Instruments &gt; All &gt; Tuning Forks,48205,48205,https://sarveda.com/product/angel-tuning-forks?offer=48210,https://sarveda.com/product/angel-tuning-forks?offer=48210,in_stock,out_of_stock,3000.00 INR,2550.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/11/Angel-fork-3.jpg
48211,True,True,ok,MI-TF-AG-4225,True,True,True,True,Sound &amp;amp;amp; Musical Instruments &amp;gt; All &amp;gt; Tuning Forks,Sound &amp;amp; Musical Instruments &gt; All &gt; Tuning Forks,48205,48205,https://sarveda.com/product/angel-tuning-forks?offer=48211,https://sarveda.com/product/angel-tuning-forks?offer=48211,in_stock,out_of_stock,3250.00 INR,2750.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/11/Angel-fork-3.jpg
7185,True,True,ok,ME-Z-Zn-DG,True,True,True,True,Yoga &amp;amp;amp; Meditation &amp;gt; All &amp;gt; Home &amp;amp;amp; Workspace &amp;gt; Meditation Cushions &amp;amp;amp; Benches &amp;gt; Yoga Mats &amp;amp;amp; Props &amp;gt; All,Yoga &amp;amp; Meditation &gt; All &gt; Home &amp;amp; Workspace &gt; Meditation Cushions &amp;amp; Benches &gt; Yoga Mats &amp;amp; Props &gt; All,7177,7177,https://sarveda.com/product/zafu-zabuton-combo-plain?offer=7185,https://sarveda.com/product/zafu-zabuton-combo-plain?offer=7185,out_of_stock,out_of_stock,3295.00 INR,2795.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2023/03/IMG9985-scaled.jpg
9314,True,True,ok,ME-Z-Zn-EM-L-MB,True,True,True,True,Yoga &amp;amp;amp; Meditation &amp;gt; All &amp;gt; Home &amp;amp;amp; Workspace &amp;gt; Meditation Cushions &amp;amp;amp; Benches &amp;gt; Yoga Mats &amp;amp;amp; Props &amp;gt; All,Yoga &amp;amp; Meditation &gt; All &gt; Home &amp;amp; Workspace &gt; Meditation Cushions &amp;amp; Benches &gt; Yoga Mats &amp;amp; Props &gt; All,9312,9312,https://sarveda.com/product/zafu-zabuton-combo-lotus-embroidery?offer=9314,https://sarveda.com/product/zafu-zabuton-combo-lotus-embroidery?offer=9314,out_of_stock,out_of_stock,4020.80 INR,3590.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/04/IMG0901-1-scaled.jpg
9568,True,True,ok,ME-Z-Zn-EM-L-LG,True,True,True,True,Yoga &amp;amp;amp; Meditation &amp;gt; All &amp;gt; Home &amp;amp;amp; Workspace &amp;gt; Meditation Cushions &amp;amp;amp; Benches &amp;gt; Yoga Mats &amp;amp;amp; Props &amp;gt; All,Yoga &amp;amp; Meditation &gt; All &gt; Home &amp;amp; Workspace &gt; Meditation Cushions &amp;amp; Benches &gt; Yoga Mats &amp;amp; Props &gt; All,9312,9312,https://sarveda.com/product/zafu-zabuton-combo-lotus-embroidery?offer=9568,https://sarveda.com/product/zafu-zabuton-combo-lotus-embroidery?offer=9568,out_of_stock,out_of_stock,4020.80 INR,3590.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/04/IMG0901-1-scaled.jpg
9597,True,True,ok,ME-Z-Zn-LV,True,True,True,True,Yoga &amp;amp;amp; Meditation &amp;gt; All &amp;gt; Home &amp;amp;amp; Workspace &amp;gt; Meditation Cushions &amp;amp;amp; Benches &amp;gt; Yoga Mats &amp;amp;amp; Props &amp;gt; All,Yoga &amp;amp; Meditation &gt; All &gt; Home &amp;amp; Workspace &gt; Meditation Cushions &amp;amp; Benches &gt; Yoga Mats &amp;amp; Props &gt; All,7177,7177,https://sarveda.com/product/zafu-zabuton-combo-plain?offer=9597,https://sarveda.com/product/zafu-zabuton-combo-plain?offer=9597,out_of_stock,out_of_stock,3796.80 INR,3390.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2023/03/IMG9985-scaled.jpg
9598,True,True,ok,ME-Z-Zn-LG,True,True,True,True,Yoga &amp;amp;amp; Meditation &amp;gt; All &amp;gt; Home &amp;amp;amp; Workspace &amp;gt; Meditation Cushions &amp;amp;amp; Benches &amp;gt; Yoga Mats &amp;amp;amp; Props &amp;gt; All,Yoga &amp;amp; Meditation &gt; All &gt; Home &amp;amp; Workspace &gt; Meditation Cushions &amp;amp; Benches &gt; Yoga Mats &amp;amp; Props &gt; All,7177,7177,https://sarveda.com/product/zafu-zabuton-combo-plain?offer=9598,https://sarveda.com/product/zafu-zabuton-combo-plain?offer=9598,out_of_stock,out_of_stock,3796.80 INR,3390.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2023/03/IMG9985-scaled.jpg
9599,True,True,ok,ME-Z-Zn-MB,True,True,True,True,Yoga &amp;amp;amp; Meditation &amp;gt; All &amp;gt; Home &amp;amp;amp; Workspace &amp;gt; Meditation Cushions &amp;amp;amp; Benches &amp;gt; Yoga Mats &amp;amp;amp; Props &amp;gt; All,Yoga &amp;amp; Meditation &gt; All &gt; Home &amp;amp; Workspace &gt; Meditation Cushions &amp;amp; Benches &gt; Yoga Mats &amp;amp; Props &gt; All,7177,7177,https://sarveda.com/product/zafu-zabuton-combo-plain?offer=9599,https://sarveda.com/product/zafu-zabuton-combo-plain?offer=9599,out_of_stock,out_of_stock,3796.80 INR,3390.00 INR,https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2023/03/IMG9985-scaled.jpg
