variantId,sku,gId,productId,productSlug,oldStatus,newStatus,changed,reason,mode,outcome
fbcec161-3edc-463a-a7d9-2dd107e4d3ce,MI-TD-11N-W-12,42411,a02f5aeb-5f67-431f-8d9e-19d7a5c01173,11-note-tongue-drum,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
160130ae-ad7a-4539-9eba-beb394c75f0a,MI-TD-11N-W-6,42412,a02f5aeb-5f67-431f-8d9e-19d7a5c01173,11-note-tongue-drum,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
a7120de4-4ec8-4819-a77b-993ff644ba55,YO-M-CT-L-M-G,46192,5dc3e0ae-71c8-4e0b-aeeb-e14e3855a30d,yoga-mats-lotus,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
52c95117-e3cf-4e13-a90e-47b95943c4a3,YO-M-CT-L-M-B,46194,5dc3e0ae-71c8-4e0b-aeeb-e14e3855a30d,yoga-mats-lotus,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
80562e2f-6fc2-421b-baaa-7b97bb1d26b6,YO-M-CT-L-M-P,46195,5dc3e0ae-71c8-4e0b-aeeb-e14e3855a30d,yoga-mats-lotus,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
858c8391-cd5c-4dbd-b775-bda237337067,YO-M-CT-L-S-T,46196,5dc3e0ae-71c8-4e0b-aeeb-e14e3855a30d,yoga-mats-lotus,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
307c95a3-7951-4bb9-8057-7bd7def34cb8,YO-M-CT-L-S-O,46197,5dc3e0ae-71c8-4e0b-aeeb-e14e3855a30d,yoga-mats-lotus,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
26cd9417-ae90-40bf-9b59-434c5567d7b2,YO-M-CT-L-S-Y,46198,5dc3e0ae-71c8-4e0b-aeeb-e14e3855a30d,yoga-mats-lotus,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
d6e6c0b6-04e5-49ef-8ecc-05bedfc89fe4,YO-M-CT-L-S-P,46199,5dc3e0ae-71c8-4e0b-aeeb-e14e3855a30d,yoga-mats-lotus,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
56bff370-b421-4548-8b88-76609d19e907,MI-TF-AG-4160,48210,0a48d434-59cd-4e39-9221-811bd7746413,angel-tuning-forks,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
1ea051da-a3cb-4e85-a72c-c527a0812b40,MI-TF-AG-4225,48211,0a48d434-59cd-4e39-9221-811bd7746413,angel-tuning-forks,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
bcbefd3f-b221-476a-8f4c-bdcfd7fcc969,ME-Z-Zn-DG,7185,0ed2725d-00bd-4ed9-b0b0-4699602434ae,zafu-zabuton-combo-plain,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
dac965f3-44e9-409b-b660-f0cebaf7b6fa,ME-Z-Zn-EM-L-MB,9314,1f27d24c-5458-4d53-8dde-487a0d3f1a5a,zafu-zabuton-combo-lotus-embroidery,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
13183064-c9de-493e-b304-d8a35ac343e8,ME-Z-Zn-EM-L-LG,9568,1f27d24c-5458-4d53-8dde-487a0d3f1a5a,zafu-zabuton-combo-lotus-embroidery,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
19010b6c-118e-406a-a7f5-2990f69bc9c2,ME-Z-Zn-LV,9597,0ed2725d-00bd-4ed9-b0b0-4699602434ae,zafu-zabuton-combo-plain,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
c8e141e7-c922-4c28-8aea-b85fa2ed20e4,ME-Z-Zn-LG,9598,0ed2725d-00bd-4ed9-b0b0-4699602434ae,zafu-zabuton-combo-plain,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
3db6be85-a95d-4d11-ae55-7d2e43374b88,ME-Z-Zn-MB,9599,0ed2725d-00bd-4ed9-b0b0-4699602434ae,zafu-zabuton-combo-plain,INACTIVE,ACTIVE,true,RESTORE_AFTER_VARIANT_SAVE_BUG_2026_09_02,apply,RESTORED
